Participant,Practice,Block,Trial,O,V
0,false,1,0,Low,Color
0,false,1,1,Medium,Color
0,false,1,2,Medium,Color
0,false,1,3,Large,Color
0,false,1,4,Large,Color
0,false,1,5,Large,Color
0,false,1,6,Low,Color
0,false,1,7,Low,Color
0,false,1,8,Medium,Color
0,false,1,9,Low,Color
0,false,1,10,Medium,Color
0,false,1,11,Large,Color
0,false,2,0,Low,Size
0,false,2,1,Medium,Size
0,false,2,2,Large,Size
0,false,2,3,Low,Size
0,false,2,4,Medium,Size
0,false,2,5,Medium,Size
0,false,2,6,Large,Size
0,false,2,7,Large,Size
0,false,2,8,Large,Size
0,false,2,9,Low,Size
0,false,2,10,Low,Size
0,false,2,11,Medium,Size
0,false,3,0,Medium,Color&Size
0,false,3,1,Medium,Color&Size
0,false,3,2,Large,Color&Size
0,false,3,3,Large,Color&Size
0,false,3,4,Large,Color&Size
0,false,3,5,Low,Color&Size
0,false,3,6,Low,Color&Size
0,false,3,7,Medium,Color&Size
0,false,3,8,Low,Color&Size
0,false,3,9,Medium,Color&Size
0,false,3,10,Large,Color&Size
0,false,3,11,Low,Color&Size
1,false,1,0,Medium,Size
1,false,1,1,Low,Size
1,false,1,2,Medium,Size
1,false,1,3,Large,Size
1,false,1,4,Low,Size
1,false,1,5,Medium,Size
1,false,1,6,Medium,Size
1,false,1,7,Large,Size
1,false,1,8,Large,Size
1,false,1,9,Large,Size
1,false,1,10,Low,Size
1,false,1,11,Low,Size
1,false,2,0,Low,Color&Size
1,false,2,1,Low,Color&Size
1,false,2,2,Medium,Color&Size
1,false,2,3,Low,Color&Size
1,false,2,4,Medium,Color&Size
1,false,2,5,Large,Color&Size
1,false,2,6,Low,Color&Size
1,false,2,7,Medium,Color&Size
1,false,2,8,Medium,Color&Size
1,false,2,9,Large,Color&Size
1,false,2,10,Large,Color&Size
1,false,2,11,Large,Color&Size
1,false,3,0,Large,Color
1,false,3,1,Large,Color
1,false,3,2,Low,Color
1,false,3,3,Low,Color
1,false,3,4,Medium,Color
1,false,3,5,Low,Color
1,false,3,6,Medium,Color
1,false,3,7,Large,Color
1,false,3,8,Low,Color
1,false,3,9,Medium,Color
1,false,3,10,Medium,Color
1,false,3,11,Large,Color
2,false,1,0,Large,Color&Size
2,false,1,1,Large,Color&Size
2,false,1,2,Large,Color&Size
2,false,1,3,Low,Color&Size
2,false,1,4,Low,Color&Size
2,false,1,5,Medium,Color&Size
2,false,1,6,Low,Color&Size
2,false,1,7,Medium,Color&Size
2,false,1,8,Large,Color&Size
2,false,1,9,Low,Color&Size
2,false,1,10,Medium,Color&Size
2,false,1,11,Medium,Color&Size
2,false,2,0,Low,Color
2,false,2,1,Medium,Color
2,false,2,2,Low,Color
2,false,2,3,Medium,Color
2,false,2,4,Large,Color
2,false,2,5,Low,Color
2,false,2,6,Medium,Color
2,false,2,7,Medium,Color
2,false,2,8,Large,Color
2,false,2,9,Large,Color
2,false,2,10,Large,Color
2,false,2,11,Low,Color
2,false,3,0,Medium,Size
2,false,3,1,Large,Size
2,false,3,2,Large,Size
2,false,3,3,Large,Size
2,false,3,4,Low,Size
2,false,3,5,Low,Size
2,false,3,6,Medium,Size
2,false,3,7,Low,Size
2,false,3,8,Medium,Size
2,false,3,9,Large,Size
2,false,3,10,Low,Size
2,false,3,11,Medium,Size
3,false,1,0,Large,Color
3,false,1,1,Low,Color
3,false,1,2,Low,Color
3,false,1,3,Medium,Color
3,false,1,4,Low,Color
3,false,1,5,Medium,Color
3,false,1,6,Large,Color
3,false,1,7,Low,Color
3,false,1,8,Medium,Color
3,false,1,9,Medium,Color
3,false,1,10,Large,Color
3,false,1,11,Large,Color
3,false,2,0,Large,Size
3,false,2,1,Low,Size
3,false,2,2,Medium,Size
3,false,2,3,Medium,Size
3,false,2,4,Large,Size
3,false,2,5,Large,Size
3,false,2,6,Large,Size
3,false,2,7,Low,Size
3,false,2,8,Low,Size
3,false,2,9,Medium,Size
3,false,2,10,Low,Size
3,false,2,11,Medium,Size
3,false,3,0,Medium,Color&Size
3,false,3,1,Large,Color&Size
3,false,3,2,Low,Color&Size
3,false,3,3,Medium,Color&Size
3,false,3,4,Medium,Color&Size
3,false,3,5,Large,Color&Size
3,false,3,6,Large,Color&Size
3,false,3,7,Large,Color&Size
3,false,3,8,Low,Color&Size
3,false,3,9,Low,Color&Size
3,false,3,10,Medium,Color&Size
3,false,3,11,Low,Color&Size
4,false,1,0,Low,Size
4,false,1,1,Medium,Size
4,false,1,2,Medium,Size
4,false,1,3,Large,Size
4,false,1,4,Large,Size
4,false,1,5,Large,Size
4,false,1,6,Low,Size
4,false,1,7,Low,Size
4,false,1,8,Medium,Size
4,false,1,9,Low,Size
4,false,1,10,Medium,Size
4,false,1,11,Large,Size
4,false,2,0,Low,Color&Size
4,false,2,1,Medium,Color&Size
4,false,2,2,Large,Color&Size
4,false,2,3,Low,Color&Size
4,false,2,4,Medium,Color&Size
4,false,2,5,Medium,Color&Size
4,false,2,6,Large,Color&Size
4,false,2,7,Large,Color&Size
4,false,2,8,Large,Color&Size
4,false,2,9,Low,Color&Size
4,false,2,10,Low,Color&Size
4,false,2,11,Medium,Color&Size
4,false,3,0,Medium,Color
4,false,3,1,Medium,Color
4,false,3,2,Large,Color
4,false,3,3,Large,Color
4,false,3,4,Large,Color
4,false,3,5,Low,Color
4,false,3,6,Low,Color
4,false,3,7,Medium,Color
4,false,3,8,Low,Color
4,false,3,9,Medium,Color
4,false,3,10,Large,Color
4,false,3,11,Low,Color
5,false,1,0,Medium,Color&Size
5,false,1,1,Low,Color&Size
5,false,1,2,Medium,Color&Size
5,false,1,3,Large,Color&Size
5,false,1,4,Low,Color&Size
5,false,1,5,Medium,Color&Size
5,false,1,6,Medium,Color&Size
5,false,1,7,Large,Color&Size
5,false,1,8,Large,Color&Size
5,false,1,9,Large,Color&Size
5,false,1,10,Low,Color&Size
5,false,1,11,Low,Color&Size
5,false,2,0,Low,Color
5,false,2,1,Low,Color
5,false,2,2,Medium,Color
5,false,2,3,Low,Color
5,false,2,4,Medium,Color
5,false,2,5,Large,Color
5,false,2,6,Low,Color
5,false,2,7,Medium,Color
5,false,2,8,Medium,Color
5,false,2,9,Large,Color
5,false,2,10,Large,Color
5,false,2,11,Large,Color
5,false,3,0,Large,Size
5,false,3,1,Large,Size
5,false,3,2,Low,Size
5,false,3,3,Low,Size
5,false,3,4,Medium,Size
5,false,3,5,Low,Size
5,false,3,6,Medium,Size
5,false,3,7,Large,Size
5,false,3,8,Low,Size
5,false,3,9,Medium,Size
5,false,3,10,Medium,Size
5,false,3,11,Large,Size
6,false,1,0,Large,Color
6,false,1,1,Large,Color
6,false,1,2,Large,Color
6,false,1,3,Low,Color
6,false,1,4,Low,Color
6,false,1,5,Medium,Color
6,false,1,6,Low,Color
6,false,1,7,Medium,Color
6,false,1,8,Large,Color
6,false,1,9,Low,Color
6,false,1,10,Medium,Color
6,false,1,11,Medium,Color
6,false,2,0,Low,Size
6,false,2,1,Medium,Size
6,false,2,2,Low,Size
6,false,2,3,Medium,Size
6,false,2,4,Large,Size
6,false,2,5,Low,Size
6,false,2,6,Medium,Size
6,false,2,7,Medium,Size
6,false,2,8,Large,Size
6,false,2,9,Large,Size
6,false,2,10,Large,Size
6,false,2,11,Low,Size
6,false,3,0,Medium,Color&Size
6,false,3,1,Large,Color&Size
6,false,3,2,Large,Color&Size
6,false,3,3,Large,Color&Size
6,false,3,4,Low,Color&Size
6,false,3,5,Low,Color&Size
6,false,3,6,Medium,Color&Size
6,false,3,7,Low,Color&Size
6,false,3,8,Medium,Color&Size
6,false,3,9,Large,Color&Size
6,false,3,10,Low,Color&Size
6,false,3,11,Medium,Color&Size
7,false,1,0,Large,Size
7,false,1,1,Low,Size
7,false,1,2,Low,Size
7,false,1,3,Medium,Size
7,false,1,4,Low,Size
7,false,1,5,Medium,Size
7,false,1,6,Large,Size
7,false,1,7,Low,Size
7,false,1,8,Medium,Size
7,false,1,9,Medium,Size
7,false,1,10,Large,Size
7,false,1,11,Large,Size
7,false,2,0,Large,Color&Size
7,false,2,1,Low,Color&Size
7,false,2,2,Medium,Color&Size
7,false,2,3,Medium,Color&Size
7,false,2,4,Large,Color&Size
7,false,2,5,Large,Color&Size
7,false,2,6,Large,Color&Size
7,false,2,7,Low,Color&Size
7,false,2,8,Low,Color&Size
7,false,2,9,Medium,Color&Size
7,false,2,10,Low,Color&Size
7,false,2,11,Medium,Color&Size
7,false,3,0,Medium,Color
7,false,3,1,Large,Color
7,false,3,2,Low,Color
7,false,3,3,Medium,Color
7,false,3,4,Medium,Color
7,false,3,5,Large,Color
7,false,3,6,Large,Color
7,false,3,7,Large,Color
7,false,3,8,Low,Color
7,false,3,9,Low,Color
7,false,3,10,Medium,Color
7,false,3,11,Low,Color
8,false,1,0,Low,Color&Size
8,false,1,1,Medium,Color&Size
8,false,1,2,Medium,Color&Size
8,false,1,3,Large,Color&Size
8,false,1,4,Large,Color&Size
8,false,1,5,Large,Color&Size
8,false,1,6,Low,Color&Size
8,false,1,7,Low,Color&Size
8,false,1,8,Medium,Color&Size
8,false,1,9,Low,Color&Size
8,false,1,10,Medium,Color&Size
8,false,1,11,Large,Color&Size
8,false,2,0,Low,Color
8,false,2,1,Medium,Color
8,false,2,2,Large,Color
8,false,2,3,Low,Color
8,false,2,4,Medium,Color
8,false,2,5,Medium,Color
8,false,2,6,Large,Color
8,false,2,7,Large,Color
8,false,2,8,Large,Color
8,false,2,9,Low,Color
8,false,2,10,Low,Color
8,false,2,11,Medium,Color
8,false,3,0,Medium,Size
8,false,3,1,Medium,Size
8,false,3,2,Large,Size
8,false,3,3,Large,Size
8,false,3,4,Large,Size
8,false,3,5,Low,Size
8,false,3,6,Low,Size
8,false,3,7,Medium,Size
8,false,3,8,Low,Size
8,false,3,9,Medium,Size
8,false,3,10,Large,Size
8,false,3,11,Low,Size
